CUSTOMER_CDE,SNAPSHOT,SEGMENTATION,TOI_DP,TOI_LN,TOI_FEE,TOI_FX,TOI_TOTAL,ACTUAL_BAL_LCL_D0,AVG_AMT_LCL_D0,ACTUAL_BAL_LCL_CASA_D0,AVG_AMT_LCL_CASA_D0,ACTUAL_BAL_LCL_SAVING_D0,AVG_AMT_LCL_SAVING_D0,score
12001495,S9,SME,8109289.050272,0.0,38626031,76827845.55,123563165.600272,197618302.0,277888227.166668,197618302.0,277888227.166668,,,63.732914
11219060,S9,MSME,207537.506189,0.0,1604000,0.0,1811537.506189,12298286.0,10273128.433332,12298286.0,10273128.433332,,,-26.845382
19564102,S9,MSME,167007.56646,31096462.530162,623000,0.0,31886470.096622,4026777.0,4117823.6,4026777.0,4117823.6,,,-42.73487
19630888,S9,MSME,251139.095132,0.0,534000,0.0,785139.095132,77411577.0,5877030.833334,77411577.0,5877030.833334,,,-36.702877
19327095,S9,MSME,210495.525808,0.0,1386000,0.0,1596495.525808,8977278.0,8414824.333334,7930278.0,7367824.333334,1047000.0,1047000.0,-31.608563
19332557,S9,NONE,16210874.504935,0.0,854000,0.0,17064874.504935,2766338.0,61551314.300002,2766338.0,61551314.300002,,,-0.678346
19627065,S9,NONE,13352.626776,0.0,0,0.0,13352.626776,1109900.0,1109900.0,60900.0,60900.0,1049000.0,1049000.0,-116.593861
11719288,S9,MSME,2583595.467658,0.0,1542910,0.0,4126505.467658,36935179.0,34712371.7,36830279.0,34607471.7,104900.0,104900.0,-4.040087
19634040,S9,MSME,43369026.252527,2775798.920556,105103,0.0,46249928.173083,351771402.0,507300522.733333,351771402.0,507300522.733333,,,67.639603
19585143,S9,MSME,2198.262368,0.0,0,0.0,2198.262368,214000.0,214000.0,4200.0,4200.0,209800.0,209800.0,-117.26971
18738414,S9,MSME,18559.371108,0.0,0,0.0,18559.371108,1110826.0,1069783.6,12523.0,12523.0,1098303.0,1057260.6,-120.792035
16516958,S9,MSME,981791.76461,142094897.945248,14526500,0.0,157603189.709858,1176415.0,6335596.833334,78112.0,5280046.333333,1098303.0,1055550.500001,-41.76412
18140794,S9,MSME,76397.499676,504321.030834,1260000,0.0,1840718.53051,1200912.0,1290300.6,1092139.0,1183477.233333,108773.0,106823.366667,-90.211744
11200329,S9,SME,24255983.713497,244919497.973388,5670000,0.0,274845481.686885,453749080.0,224129891.199999,452548467.0,222932123.699999,1200613.0,1197767.5,60.895792
13341557,S9,SME,162915.983064,93073972.60287,800000,0.0,94036888.585934,4608519.0,4629012.300001,1391723.0,1442941.3,3216796.0,3186071.000001,-51.221029
19312040,S9,MSME,271918.080509,0.0,889000,0.0,1160918.080509,1170134.0,22826363.866666,1170134.0,22826363.866666,,,-57.793929
19316048,S9,SME,2638612.223514,0.0,1686000,0.0,4324612.223514,29593086.0,223560185.966668,28544086.0,222511185.966668,1049000.0,1049000.0,9.84609
4635995,S9,MSME,27061.040306,0.0,0,0.0,27061.040306,1161320.0,1161320.0,20351.0,20351.0,1140969.0,1140969.0,-120.792035
9630896,S9,SME,391800.311697,0.0,630000,0.0,1021800.311697,13250036.0,13339832.133333,13250036.0,13339832.133333,,,-30.608651
9788140,S9,MSME,61569.201539,0.0,880400,0.0,1864603.543349,1293865.0,1416952.866667,1293865.0,1416952.866667,,,-90.881284
5281927,S9,MSME,304654.0587,0.0,591980,0.0,896634.0587,6216823.0,12472978.833334,6216823.0,12472978.833334,,,-45.278411
3240936,S9,MSME,159188.367885,0.0,350000,0.0,509188.367885,5345667.0,5395999.466666,5345667.0,5395999.466666,,,-58.127529
2977742,S9,USME,13795775.757942,0.0,2653816,2380000.0,18829591.757942,129855263.46,158327482.238667,129855263.46,158327482.238667,,,29.087338
19891159,S9,SME,9834990.488686,420736341.24618,9677762,0.0,440245705.16918,530414.0,418753.733334,530414.0,418753.733334,,,-61.374179
20266013,S9,SME,44354796.136034,90904109.589036,8632364,0.0,143891269.72507,271909249.0,1334644241.499999,270909249.0,1333644241.499999,1000000.0,1000000.0,66.394473
20254066,S9,NONE,264800.717839,0.0,1027000,0.0,1291800.717839,5868991.0,10397673.433334,5868991.0,10397673.433334,,,-36.00948
20741362,S9,MSME,101741.053013,0.0,641000,0.0,742741.053013,4758279.0,8020201.966667,4758279.0,8020201.966667,,,-46.724286
