A,B,C,D,LABEL
62.0,5600493635.0,12360713581.0,146499746.3,0
1.0,41000.0,41000.0,,0
,,,381980.0,0
12.0,4285000000.0,7785000000.0,835823946.0,0
,,,,0
,11349220960.0,,25208039.0,0
2.0,1140554616.0,1140554616.0,65048111.0,0
,3630000000.0,,3199761.0,0
132.0,8448744510.0,12701578660.0,,0
5.0,1009205694.0,1009205694.0,0.0,0
,21815518578.0,,,0
,,,393495151.0,0
,,,4580679.0,0
,,,21328429.0,0
,88000000.0,,76157683.0,0
8.0,13297163730.0,13297163730.0,102688181.0,0
46.0,1029269530.0,1910586726.0,8028411.0,0
,142632343350.0,,,0
38.0,787824963.0,1851107879.0,201475.0,0
,,,,0
,,,632149.0,0
,,,73352000.0,0
,2724122599046874.0,,4530703347.0,0
,,,689344.0,0
,,,4989924.0,0
,113800000000.0,,1170399220.0,0
23.0,5223304450.0,7150302450.0,92294351.0,0
20.0,16465444428.0,64218220953.0,11255995.0,0
37.0,645000000.0,32693660223.0,2157131.0,0
,19627033062.0,,967689.0,0
36.0,31487000000.0,79929433000.0,15586068.0,0
19.0,24668105511.0,24668265511.0,12750854.0,0
2.0,30240000.0,43260000.0,157915296.0,0
,,,1017039.0,0
,488703929133.0,,,0
,1443608256.0,,1024247.0,0
105.0,11487122409.0,22400997318.0,85669127.0,0
,2054473520.0,,65.0,0
,,,1245185.0,0
,,,1145623802.0,0
14.0,4352173305.0,12552173305.0,,0
,6155106000.0,,94187.0,0
51.0,12072269605.0,23355950142.0,974272507.0,0
,,,296112.0,0
106.0,9926889074.0,16075246015.0,,0
1.0,400000000.0,400000000.0,836196.0,0
78.0,166645967.0,185022031.0,,0
24.0,550672694.0,669101694.0,10027660.0,0
100.0,23163084230.0,43958309518.0,1214406788.0,0
6.0,158989975.0,251604150.0,242732098.0,0
12.0,3561113268.0,3824113268.0,1644796.0,0
,,,,0
,205000000.0,,98203978.0,0
25.0,1115891961.0,5695860455.0,,0
,,,2885160.0,0
,8308344240.0,,192514940.0,0
,,,39332963818.16,0
,,,485473.0,0
,5726186088.0,,273365731.0,0
261.0,65482211349.0,96393282742.0,,0
165.0,36043502636.0,59719250660.0,,0
,4400000000.0,,,0
,339634500000.0,,164624320.0,0
,3570000000.0,,73771133.0,0
,,,100776969.0,0
,,,21803912.0,0
,7438276362367.0,,1524984958.0,0
,300000000.0,,100569594.0,0
,,,458836.0,0
20.0,291043178.0,1376706939.0,,0
,,,,0
,,,2710143.0,0
,,,,0
,11877200000.0,,56605863.0,0
,1888418742575.0,,,0
217.0,54067036870.0,122194007866.0,,0
