Label name,Feature type,Feature name,Column name,Bin,Number customer,Contribution,Conversion rate,Event_cnt,Non_event_cnt,Dist_event,Dist_non_event,ChiSquare,P_value,CramerV,CramerV_remark,WOE,IV,score
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FEE,TOI_FEE,"(1043334.0, 1406750.0]",8292,9.874838,0.263507,2185,6107,7.925281,10.827822,6219.138454,0.0,0.272145,Medium,-0.312061,0.009058,-0.753242
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FEE,TOI_FEE,"(1406750.0, 2209020.0]",9089,10.823975,0.343602,3123,5966,11.32753,10.577827,6219.138454,0.0,0.272145,Medium,0.068476,0.000513,0.042692
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FEE,TOI_FEE,"(2209020.0, 3622106.0]",7177,8.546998,0.394733,2833,4344,10.275662,7.701991,6219.138454,0.0,0.272145,Medium,0.288299,0.00742,0.617039
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FEE,TOI_FEE,"(3622106.0, 12301027.5]",10123,12.055352,0.472884,4787,5336,17.363076,9.460825,6219.138454,0.0,0.272145,Medium,0.607186,0.047981,3.990148
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FEE,TOI_FEE,"(12301027.5, inf]",7993,9.518762,0.626048,5004,2989,18.150163,5.299551,6219.138454,0.0,0.272145,Medium,1.231057,0.158198,13.155833
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FEE,TOI_FEE,Special 0,8474,10.091579,0.201912,1711,6763,6.206021,11.990922,6219.138454,0.0,0.272145,Medium,-0.65863,0.038101,-3.1685
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(-inf, 150426.781]",373,5.326289,0.340483,127,246,2.980521,8.971554,540.046601,0.0,0.277699,Medium,-1.101961,0.066019,-4.958202
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(150426.781, 857262.5]",486,6.939883,0.430041,209,277,4.904952,10.102115,540.046601,0.0,0.277699,Medium,-0.7225,0.037549,-2.820073
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(857262.5, 3670133.5]",1030,14.707982,0.5,515,515,12.086365,18.781911,540.046601,0.0,0.277699,Medium,-0.440816,0.029515,-2.216665
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(3670133.5, 7340795.25]",729,10.409824,0.534979,390,339,9.152781,12.363239,540.046601,0.0,0.277699,Medium,-0.30067,0.009653,-0.724958
IS_CASA_50M_ACTUAL_BAL_LCL,continuous,TOI_FX,TOI_FX,"(7340795.25, 22045455.0]",1393,19.891475,0.590093,822,571,19.291246,20.824216,540.046601,0.0,0.277699,Medium,-0.076465,0.001172,-0.088035
